scientificName,phyloTreeTipLabel,phyloTreeFileName,^skos:prefLabel,^ot:originalLabel,^ot:ottTaxonName,^ot:taxonLink,^ot:ottId
Nicotiana rosulata,Nicotiana rosulata,ot_1003_Tr100305.nex,-,Nicotiana rosulata,Nicotiana rosulata,"{'@tb:identifier.taxon': 184580, '@tb:identifier.taxonVariant': 257210, '@ubio': '5845909', '@uniprot': '200309'}",755391
Solanum thelopodium,Solanum thelopodium,ot_1003_Tr100305.nex,-,Solanum thelopodium,Solanum thelopodium,"{'@tb:identifier.taxon': 632129, '@tb:identifier.taxonVariant': 847141, '@ubio': '1801103', '@uniprot': '205585'}",4045
Nicotiana goodspeedii,Nicotiana goodspeedii,ot_1003_Tr100305.nex,-,Nicotiana goodspeedii,Nicotiana goodspeedii,"{'@tb:identifier.taxon': 184576, '@tb:identifier.taxonVariant': 257206, '@ubio': '5845882', '@uniprot': '200305'}",755411
Nolana sedifolia,Nolana sedifolia,ot_1003_Tr100305.nex,-,Nolana sedifolia,Nolana sedifolia,"{'@tb:identifier.taxon': 95050, '@tb:identifier.taxonVariant': 174221, '@ubio': '5957969', '@uniprot': '84200'}",956764
Nothocestrum latifolium,Nothocestrum latifolium,ot_1003_Tr100305.nex,-,Nothocestrum latifolium,Nothocestrum latifolium,"{'@tb:identifier.taxon': 429029, '@tb:identifier.taxonVariant': 565240, '@ubio': '2653687', '@uniprot': '540822'}",383971
Chamaesaracha sordida,Chamaesaracha sordida,ot_1003_Tr100305.nex,-,Chamaesaracha sordida,Chamaesaracha sordida,"{'@tb:identifier.taxon': 5692, '@tb:identifier.taxonVariant': 13795, '@ubio': '2653596', '@uniprot': '304121'}",264841
Lycianthes shanesii,Lycianthes shanesii,ot_1003_Tr100305.nex,-,Lycianthes shanesii,Lycianthes shanesii,"{'@tb:identifier.taxon': 168563, '@tb:identifier.taxonVariant': 243050, '@ubio': '10201188', '@uniprot': '180578'}",997062
Petunia secreta,Petunia secreta,ot_1003_Tr100305.nex,-,Petunia secreta,Petunia secreta,"{'@tb:identifier.taxon': 283623, '@tb:identifier.taxonVariant': 336734, '@ubio': '10272157', '@uniprot': '323111'}",446934
Nicotiana glutinosa,Nicotiana glutinosa,ot_1003_Tr100305.nex,-,Nicotiana glutinosa,Nicotiana glutinosa,"{'@tb:identifier.taxon': 19091, '@tb:identifier.taxonVariant': 44440, '@ubio': '2669881', '@uniprot': '35889'}",77372
Solanum tetrathecum,Solanum tetrathecum,ot_1003_Tr100305.nex,-,Solanum tetrathecum,Solanum tetrathecum,"{'@tb:identifier.taxon': 349423, '@tb:identifier.taxonVariant': 382914, '@ubio': '9109921', '@uniprot': '401009'}",765650
Solanum candidum,Solanum candidum,ot_1003_Tr100305.nex,-,Solanum candidum,Solanum candidum,"{'@tb:identifier.taxon': 27146, '@tb:identifier.taxonVariant': 63390, '@ubio': '5862425', '@uniprot': '115663'}",399745
