scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottId,^ot:taxonLink,^skos:prefLabel,^ot:ottTaxonName,^ot:originalLabel
Nicotiana rosulata,Nicotiana rosulata,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nicotiana rosulata', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nicotiana rosulata', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",755391,"{'@tb:identifier.taxon': 184580, '@tb:identifier.taxonVariant': 257210, '@ubio': '5845909', '@uniprot': '200309'}",,Nicotiana rosulata,Nicotiana rosulata
Solanum thelopodium,Solanum thelopodium,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum thelopodium', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum thelopodium', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",4045,"{'@tb:identifier.taxon': 632129, '@tb:identifier.taxonVariant': 847141, '@ubio': '1801103', '@uniprot': '205585'}",,Solanum thelopodium,Solanum thelopodium
Nicotiana goodspeedii,Nicotiana goodspeedii,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nicotiana goodspeedii', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nicotiana goodspeedii', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",755411,"{'@tb:identifier.taxon': 184576, '@tb:identifier.taxonVariant': 257206, '@ubio': '5845882', '@uniprot': '200305'}",,Nicotiana goodspeedii,Nicotiana goodspeedii
Nolana sedifolia,Nolana sedifolia,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nolana sedifolia', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nolana sedifolia', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",956764,"{'@tb:identifier.taxon': 95050, '@tb:identifier.taxonVariant': 174221, '@ubio': '5957969', '@uniprot': '84200'}",,Nolana sedifolia,Nolana sedifolia
Nothocestrum latifolium,Nothocestrum latifolium,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nothocestrum latifolium', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nothocestrum latifolium', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",383971,"{'@tb:identifier.taxon': 429029, '@tb:identifier.taxonVariant': 565240, '@ubio': '2653687', '@uniprot': '540822'}",,Nothocestrum latifolium,Nothocestrum latifolium
Chamaesaracha sordida,Chamaesaracha sordida,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Chamaesaracha sordida', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Chamaesaracha sordida', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",264841,"{'@tb:identifier.taxon': 5692, '@tb:identifier.taxonVariant': 13795, '@ubio': '2653596', '@uniprot': '304121'}",,Chamaesaracha sordida,Chamaesaracha sordida
Lycianthes shanesii,Lycianthes shanesii,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycianthes shanesii', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycianthes shanesii', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",997062,"{'@tb:identifier.taxon': 168563, '@tb:identifier.taxonVariant': 243050, '@ubio': '10201188', '@uniprot': '180578'}",,Lycianthes shanesii,Lycianthes shanesii
Petunia secreta,Petunia secreta,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Petunia secreta', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Petunia secreta', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",446934,"{'@tb:identifier.taxon': 283623, '@tb:identifier.taxonVariant': 336734, '@ubio': '10272157', '@uniprot': '323111'}",,Petunia secreta,Petunia secreta
Nicotiana glutinosa,Nicotiana glutinosa,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Nicotiana glutinosa', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Nicotiana glutinosa', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",77372,"{'@tb:identifier.taxon': 19091, '@tb:identifier.taxonVariant': 44440, '@ubio': '2669881', '@uniprot': '35889'}",,Nicotiana glutinosa,Nicotiana glutinosa
Solanum tetrathecum,Solanum tetrathecum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum tetrathecum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum tetrathecum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",765650,"{'@tb:identifier.taxon': 349423, '@tb:identifier.taxonVariant': 382914, '@ubio': '9109921', '@uniprot': '401009'}",,Solanum tetrathecum,Solanum tetrathecum
Solanum candidum,Solanum candidum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum candidum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum candidum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",399745,"{'@tb:identifier.taxon': 27146, '@tb:identifier.taxonVariant': 63390, '@ubio': '5862425', '@uniprot': '115663'}",,Solanum candidum,Solanum candidum
Convolvulus,Convolvulus,['ot_1003_Tr100304.nex'],"[{'phyloTreeTipLabel': 'Convolvulus', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}]",1071034,"{'@tb:identifier.taxon': 6896, '@tb:identifier.taxonVariant': 16704, '@ubio': '3874914', '@uniprot': '4122'}",,Convolvulus,Convolvulus
Solanum campylacanthum,Solanum campylacanthum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Solanum campylacanthum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Solanum campylacanthum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",535387,"{'@tb:identifier.taxon': 27145, '@tb:identifier.taxonVariant': 63388, '@ubio': '5862415', '@uniprot': '329765'}",,Solanum campylacanthum,Solanum campylacanthum
Coeloneurum ferrugineum,Coeloneurum ferrugineum,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Coeloneurum ferrugineum', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Coeloneurum ferrugineum', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",1040652,"{'@tb:identifier.taxon': 205527, '@tb:identifier.taxonVariant': 274984, '@ubio': '3439684', '@uniprot': '225619'}",,Coeloneurum ferrugineum,Coeloneurum ferrugineum
Iochroma gesnerioides,Iochroma gesnerioides,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Iochroma gesnerioides', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Iochroma gesnerioides', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",809970,"{'@tb:identifier.taxon': 316957, '@tb:identifier.taxonVariant': 491590, '@ubio': '10296478', '@uniprot': '362360'}",,Iochroma gesnerioides,Iochroma gesnerioides
Lycium strandveldense,Lycium strandveldense,"['ot_1003_Tr100304.nex', 'ot_1003_Tr100305.nex']","[{'phyloTreeTipLabel': 'Lycium strandveldense', 'phyloTreeFileName': 'ot_1003_Tr100304.nex'}, {'phyloTreeTipLabel': 'Lycium strandveldense', 'phyloTreeFileName': 'ot_1003_Tr100305.nex'}]",505219,"{'@tb:identifier.taxon': 362387, '@tb:identifier.taxonVariant': 390421, '@ubio': '9167955', '@uniprot': '416541'}",,Lycium strandveldense,Lycium strandveldense
