otuId,scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottTaxonName,^ot:ottId,^ot:originalLabel
otu1,Polioptila guianensis,Polioptila guianensis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Polioptila guianensis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Polioptila guianensis,246,Polioptila guianensis
otu10,Polioptila melanura,Polioptila melanura,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Polioptila melanura', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Polioptila melanura,443273,Polioptila melanura
otu100,Sitta canadensis,Sitta canadensis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Sitta canadensis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Sitta canadensis,603923,Sitta canadensis
otu1000,Ploceus dorsomaculatus,Ploceus dorsomaculatus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Ploceus dorsomaculatus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Ploceus dorsomaculatus,361713,Ploceus dorsomaculatus
otu1001,Ploceus preussi,Ploceus preussi,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Ploceus preussi', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Ploceus preussi,361714,Ploceus preussi
otu1002,Anaplectes rubriceps,Anaplectes rubriceps,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Anaplectes rubriceps', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Anaplectes rubriceps,98102,Anaplectes rubriceps
otu1003,Ploceus bicolor,Ploceus bicolor,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Ploceus bicolor', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Ploceus bicolor,536139,Ploceus bicolor
otu1004,Malimbus cassini,Malimbus cassini,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Malimbus cassini', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Malimbus cassini,153264,Malimbus cassini
otu1005,Malimbus scutatus,Malimbus scutatus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Malimbus scutatus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Malimbus scutatus,3597730,Malimbus scutatus
otu1006,Malimbus racheliae,Malimbus racheliae,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Malimbus racheliae', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Malimbus racheliae,3597736,Malimbus racheliae
