scientificName,phyloTreeTipLabel,phyloTreeFileName,^ot:originalLabel,^ot:ottId,^ot:ottTaxonName
Trichaptum abietinum,Hirschioporus abietinus,ot_3172_tree1.nex,Hirschioporus abietinus,1044745,Trichaptum abietinum
Hirschioporus acontextus,Hirschioporus acontextus,ot_3172_tree1.nex,Hirschioporus acontextus,6521370,Hirschioporus acontextus
Trichaptum fuscoviolaceum,Hirschioporus fuscoviolaceus,ot_3172_tree1.nex,Hirschioporus fuscoviolaceus,687147,Trichaptum fuscoviolaceum
Hirschioporus floridanus,Hirschioporus floridanus,ot_3172_tree1.nex,Hirschioporus floridanus,6521371,Hirschioporus floridanus
,Hirschioporus sp2,ot_3172_tree1.nex,Hirschioporus sp2,-,-
Trichaptum biforme,Pallidohirschioporus biformis,ot_3172_tree1.nex,Pallidohirschioporus biformis,687148,Trichaptum biforme
Trichaptum brastagii,Pallidohirschioporus brastagii,ot_3172_tree1.nex,Pallidohirschioporus brastagii,3801258,Trichaptum brastagii
Trichaptum imbricatum,Pallidohirschioporus imbricaceus,ot_3172_tree1.nex,Pallidohirschioporus imbricaceus,5296939,Trichaptum imbricatum
Pallidohirschioporus versicolor,Pallidohirschioporus versicolor,ot_3172_tree1.nex,Pallidohirschioporus versicolor,6521372,Pallidohirschioporus versicolor
Trichaptum polycystidiatum,Pallidohirschioporus polycysitidiatus,ot_3172_tree1.nex,Pallidohirschioporus polycysitidiatus,3801856,Trichaptum polycystidiatum
Trichaptum subchartaceum,Pallidohirschioporus subchartaceus,ot_3172_tree1.nex,Pallidohirschioporus subchartaceus,266244,Trichaptum subchartaceum
Hirschioporus pubescens,Hirschioporus pubescens,ot_3172_tree1.nex,Hirschioporus pubescens,6521373,Hirschioporus pubescens
Trichaptum griseofuscum,Nigrohirschioporus griseofuscus,ot_3172_tree1.nex,Nigrohirschioporus griseofuscus,3800023,Trichaptum griseofuscum
Nigrohirschioporus keylargoensis,Nigrohirschioporus keylargoensis,ot_3172_tree1.nex,Nigrohirschioporus keylargoensis,6521380,Nigrohirschioporus keylargoensis
Nigrohirschioporus fissilis,Nigrohirschioporus fissilis,ot_3172_tree1.nex,Nigrohirschioporus fissilis,6521386,Nigrohirschioporus fissilis
Trichaptum bulbocystidiatum,Nigrohirschioporus bulbocystidiatus,ot_3172_tree1.nex,Nigrohirschioporus bulbocystidiatus,6381978,Trichaptum bulbocystidiatum
Trichaptum sector,Nigrohirschioporus sector,ot_3172_tree1.nex,Nigrohirschioporus sector,3801855,Trichaptum sector
Trichaptum confertum,Nigrohirschioporus confertus,ot_3172_tree1.nex,Nigrohirschioporus confertus,7525306,Trichaptum confertum
Trichaptum deviatum,Nigrohirschioporus deviatus,ot_3172_tree1.nex,Nigrohirschioporus deviatus,6381979,Trichaptum deviatum
Nigrohirschioporus trimiticus,Nigrohirschioporus trimiticus,ot_3172_tree1.nex,Nigrohirschioporus trimiticus,6521374,Nigrohirschioporus trimiticus
Nigroporus durus,Nigrohirschioporus durus,ot_3172_tree1.nex,Nigrohirschioporus durus,3801673,Nigroporus durus
Nigrohirschioporus wuyiensis,Nigrohirschioporus wuyiensis,ot_3172_tree1.nex,Nigrohirschioporus wuyiensis,6521381,Nigrohirschioporus wuyiensis
Hirschioporus beijingensis,Hirschioporus beijingensis,ot_3172_tree1.nex,Hirschioporus beijingensis,6521375,Hirschioporus beijingensis
Nigrohirschioporus submiurinus,Nigrohirschioporus submiurinus,ot_3172_tree1.nex,Nigrohirschioporus submiurinus,6521376,Nigrohirschioporus submiurinus
,Nigrohirschioporus sp1,ot_3172_tree1.nex,Nigrohirschioporus sp1,-,-
